#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Secreted_CIM_XP_001247733.2                -          ADAM_CR_2            PF17771.3    2.5e-06   22.5   5.4   2.5e-06   22.5   5.4   4.8   2   2   1   3   3   2   1 -
Secreted_SST_KIJ55553.1                    -          ADAM_CR_2            PF17771.3    4.5e-06   21.7  13.9   4.5e-06   21.7  13.9   4.3   1   1   3   4   4   2   1 -
Secreted_MAN_KID63349.1                    -          ADAM_CR_2            PF17771.3    5.9e-06   21.3  10.1   5.9e-06   21.3  10.1   4.4   1   1   2   3   3   1   1 -
Secreted_UMA_XP_011389080.1                -          ADAM_CR_2            PF17771.3    7.5e-06   21.0  11.1   7.5e-06   21.0  11.1   4.6   3   1   2   5   5   3   1 -
Secreted_CQU_KAG0142978.1                  -          ADAM_CR_2            PF17771.3    2.8e-05   19.2   8.2   2.8e-05   19.2   8.2   3.7   1   1   1   3   3   2   1 -
Secreted_FFL_RSL77728.1                    -          ADAM_CR_2            PF17771.3    3.1e-05   19.0  12.8   3.1e-05   19.0  12.8   5.0   1   1   2   3   3   2   1 -
Secreted_FOL_RSL98459.1                    -          ADAM_CR_2            PF17771.3    3.2e-05   19.0  12.9   3.2e-05   19.0  12.9   5.0   1   1   2   3   3   2   1 -
Secreted_EFE_QPH06048.1                    -          ADAM_CR_2            PF17771.3    4.2e-05   18.6  13.5   4.2e-05   18.6  13.5   4.3   2   1   2   4   4   1   1 -
Secreted_MCI_L0F63_000736-T1               -          ADAM_CR_2            PF17771.3    4.5e-05   18.5   8.9   4.5e-05   18.5   8.9   4.8   2   2   2   4   4   2   1 -
Secreted_TMA_KAF8238464.1                  -          ADAM_CR_2            PF17771.3    8.1e-05   17.7   6.7   8.1e-05   17.7   6.7   3.8   2   1   1   3   3   2   1 -
Secreted_ENE_jgi_Erynec1_5864_EV44_g0491T0 -          ADAM_CR_2            PF17771.3    0.00017   16.6  12.9   0.00017   16.6  12.9   5.1   1   1   1   3   3   2   1 -
Secreted_URA_jgi_Umbra1_252380_fgenesh1_kg.50___310___combest_scaffold_50_105325 -          Adeno_E3_CR2         PF02439.17   0.00044   14.6   0.1   0.00076   13.8   0.1   1.4   1   0   0   1   1   1   1 -
Secreted_FOL_RSL98459.1                                                          -          Adeno_E3_CR2         PF02439.17    0.0079   10.6   4.9     0.014    9.8   4.9   1.4   1   0   0   1   1   1   1 -
Secreted_FFL_RSL77728.1                                                          -          Adeno_E3_CR2         PF02439.17    0.0079   10.6   4.9     0.014    9.8   4.9   1.4   1   0   0   1   1   1   1 -
Secreted_POR_XP_003718244.1                                                      -          Adeno_E3_CR2         PF02439.17    0.0081   10.5   4.9     0.021    9.2   4.9   1.6   1   0   0   1   1   1   1 -
Secreted_FOL_RSL91729.1 -          Adhesin_P1_N         PF18652.3       0.02    9.7   7.4     0.029    9.2   7.4   1.2   1   0   0   1   1   1   0 -
Secreted_FFL_RSL75671.1 -          Adhesin_P1_N         PF18652.3      0.021    9.7   7.4     0.029    9.2   7.4   1.2   1   0   0   1   1   1   0 -
Secreted_MAN_KID67444.1     -          AF-4                 PF05110.15       8.9   -0.1  20.3        11   -0.4  20.3   1.1   1   0   0   1   1   1   0 -
Secreted_PRU_jgi_Orpsp1_1_1178780_evm.model.c7180000066708.1 -          AhpC-TSA             PF00578.23   0.00097   13.6   0.1     0.016    9.7   0.0   2.6   3   0   0   3   3   3   1 -
Secreted_PRU_jgi_Orpsp1_1_1192811_evm.model.d7180000096050.1 -          AhpC-TSA             PF00578.23     0.001   13.6   0.1     0.022    9.2   0.0   2.6   3   0   0   3   3   3   1 -
Secreted_PRU_jgi_Orpsp1_1_1179675_evm.model.c7180000070299.1 -          AJAP1_PANP_C         PF15298.8       0.32    5.7  24.6      0.56    4.9  24.6   1.4   1   0   0   1   1   1   0 -
Secreted_FFL_RSL81790.1 -          Alpha_GJ             PF03229.15    0.0064   11.6   8.2     0.012   10.8   8.2   1.5   1   0   0   1   1   1   1 -
Secreted_VNO_XP_028492308.1 -          Amelogenin           PF02948.17       0.2    6.8  15.5       2.4    3.3  15.7   1.9   1   1   0   1   1   1   0 -
Secreted_CIM_XP_001243407.1 -          ANAPC15              PF15243.8      0.005   11.7  15.1     0.034    9.1   4.3   2.3   2   0   0   2   2   2   2 -
Secreted_FFL_RSL82168.1 -          Ank                  PF00023.32   4.8e-48  154.4  13.9   3.4e-06   21.9   0.8  14.2  14   0   0  14  14  14  12 -
Secreted_FOL_RSM09365.1 -          Ank                  PF00023.32   4.1e-42  135.6  15.6     1e-06   23.6   0.0  13.2  13   0   0  13  13  13  10 -
Secreted_FFL_RSL82168.1 -          Ank_2                PF12796.9    2.9e-75  243.5   1.7   3.2e-17   57.5   0.0   8.0   1   1   7   8   8   8   8 -
Secreted_FOL_RSM09365.1 -          Ank_2                PF12796.9      2e-70  228.0   7.0   2.3e-16   54.7   0.0   7.1   2   2   5   7   7   7   7 -
Secreted_FFL_RSL82168.1 -          Ank_3                PF13606.8    4.1e-53  165.9   5.2   1.2e-06   23.2   0.0  13.9  13   0   0  13  13  13  11 -
Secreted_FOL_RSM09365.1 -          Ank_3                PF13606.8    1.3e-47  149.0   6.8     1e-06   23.4   0.0  12.9  12   0   0  12  12  12  12 -
Secreted_FFL_RSL82168.1 -          Ank_4                PF13637.8    2.7e-64  207.4   8.9   2.2e-12   41.9   0.0  10.9   9   1   2  11  11  11   9 -
Secreted_FOL_RSM09365.1 -          Ank_4                PF13637.8    4.4e-55  178.0   4.5   6.6e-13   43.5   0.0  10.5   6   3   5  11  11  11  10 -
Secreted_FFL_RSL82168.1 -          Ank_5                PF13857.8    1.1e-48  157.3  13.5   2.8e-09   31.7   0.0  10.7   4   3   7  11  11  11  10 -
Secreted_FOL_RSM09365.1 -          Ank_5                PF13857.8    1.5e-41  134.6  14.9   2.5e-08   28.7   0.1  10.0   4   2   6  10  10  10   9 -
Secreted_RMI_XP_023462805.1 -          APC_u15              PF16636.7      0.058    8.4   4.2      0.12    7.4   4.2   1.4   1   0   0   1   1   1   0 -
Secreted_RAL_EPZ34924.1 -          APH                  PF01636.25   0.00021   15.7   0.1    0.0015   13.0   0.0   2.0   1   1   1   2   2   2   1 -
Secreted_SST_KIJ28120.1 -          ApoL                 PF05461.13    0.0065   10.4   3.3    0.0074   10.2   3.3   1.0   1   0   0   1   1   1   1 -
Secreted_SST_KIJ27927.1 -          ApoL                 PF05461.13    0.0072   10.2   0.5    0.0081   10.0   0.5   1.1   1   0   0   1   1   1   1 -
Secreted_SST_KIJ27928.1 -          ApoL                 PF05461.13    0.0072   10.2   0.5    0.0081   10.0   0.5   1.1   1   0   0   1   1   1   1 -
Secreted_SST_KIJ29213.1 -          ApoL                 PF05461.13     0.015    9.1   2.1     0.018    8.9   2.1   1.0   1   0   0   1   1   1   0 -
Secreted_SST_KIJ28121.1 -          ApoL                 PF05461.13     0.049    7.5   3.2     0.057    7.3   3.2   1.0   1   0   0   1   1   1   0 -
Secreted_PRU_jgi_Orpsp1_1_1178674_evm.model.c7180000066294.1 -          AP_endonuc_2         PF01261.26    0.0024   12.1   0.0    0.0045   11.2   0.0   1.4   1   0   0   1   1   1   1 -
Secreted_PRU_jgi_Orpsp1_1_1183991_evm.model.c7180000087537.1 -          Arc_trans_TRASH      PF08394.12       5.2    2.1  20.6      0.15    7.1   1.0   3.6   3   0   0   3   3   3   0 -
Secreted_UMA_XP_011389080.1 -          ASFV_J13L            PF05568.13   8.8e-05   16.9   0.7    0.0039   11.5   0.0   2.6   2   0   0   2   2   2   2 -
Secreted_PIN_XP_002998494.1 -          ASFV_J13L            PF05568.13    0.0024   12.2   1.6    0.0032   11.8   0.0   1.9   2   0   0   2   2   2   1 -
Secreted_FAL_XP_009493203.1 -          ASMase_C             PF19272.1     0.0021   12.6   0.0    0.0045   11.5   0.0   1.4   1   0   0   1   1   1   1 -
Secreted_POR_XP_003716609.1 -          AvrLm4-7             PF18661.3     0.0016   14.0   1.9     0.002   13.7   1.9   1.1   1   0   0   1   1   1   1 -
Secreted_PRU_jgi_Orpsp1_1_1179501_evm.model.c7180000069556.1 -          AXE1                 PF05448.14   0.00088   12.5   0.0    0.0047   10.1   0.0   1.9   2   0   0   2   2   2   1 -
Secreted_SPU_XP_016606241.1 -          Ax_dynein_light      PF10211.11     0.011   10.1   8.4     0.018    9.5   6.6   2.2   2   0   0   2   2   2   0 -
Secreted_RIR_XP_025177017.1 -          Baculo_F             PF12259.10   0.00022   14.4   0.3    0.0003   13.9   0.3   1.1   1   0   0   1   1   1   1 -
Secreted_NCR_XP_958215.1 -          BES1_N               PF05687.15       4.2    2.3  16.9       6.9    1.6  16.6   1.6   1   1   0   1   1   1   0 -
Secreted_PRU_jgi_Orpsp1_1_1185862_evm.model.c7180000095676.1 -          Big_6                PF17936.3      0.021    9.7   3.5      0.59    5.0   0.0   4.2   3   2   0   3   3   3   0 -
Secreted_PRU_jgi_Orpsp1_1_1174735_evm.model.c7180000051208.1 -          BNR                  PF02012.22   2.7e-17   54.8  34.0    0.0017   13.0   0.3  10.1   9   0   0   9   9   9   8 -
Secreted_PRU_jgi_Orpsp1_1_1174735_evm.model.c7180000051208.1 -          BNR_2                PF13088.8    1.6e-07   25.4   4.4    0.0018   12.1   0.2   5.8   3   2   4   7   7   7   3 -
Secreted_PRU_jgi_Orpsp1_1_1174735_evm.model.c7180000051208.1 -          BNR_6                PF15899.7    4.3e-15   49.0  12.1     0.015   10.1   0.1   8.3   8   0   0   8   8   8   6 -
Secreted_DDI_XP_646066.1 -          Branch               PF02485.23   1.5e-16   55.1   0.5   2.4e-10   34.8   0.2   2.4   2   0   0   2   2   2   2 -
Secreted_CIM_XP_001243407.1 -          BUD22                PF09073.12       0.2    5.4   7.0      0.26    5.0   7.0   1.1   1   0   0   1   1   1   0 -
Secreted_FFL_RSL84486.1     -          BUD22                PF09073.12      0.53    4.0   8.7      0.68    3.7   8.7   1.1   1   0   0   1   1   1   0 -
Secreted_SST_KIJ29928.1 -          CAAD                 PF14159.8     0.0011   13.3   0.6    0.0018   12.7   0.5   1.6   1   1   0   1   1   1   1 -
Secreted_SST_KIJ40030.1 -          CAAD                 PF14159.8     0.0011   13.3   0.6    0.0018   12.7   0.5   1.6   1   1   0   1   1   1   1 -
Secreted_KPA_ANZ76251.1 -          Candida_ALS          PF05792.15   1.4e-61  199.3 1035.7     0.002   13.3  20.0  38.1  38   1   0  38  38  38  36 -
Secreted_KPA_ANZ75361.1 -          Candida_ALS          PF05792.15   1.7e-15   51.9 421.4    0.0034   12.5  20.0  17.9  17   1   0  17  17  17  14 -
Secreted_KPA_ANZ75360.1 -          Candida_ALS          PF05792.15   2.9e-15   51.2 445.8    0.0037   12.4  20.0  18.8  18   1   0  18  18  18  15 -
Secreted_THA_XP_024768788.1 -          CAP                  PF00188.28   7.5e-19   63.4   2.4   1.6e-18   62.3   2.4   1.6   1   0   0   1   1   1   1 -
Secreted_NCR_XP_956657.1                                     -          CBM_1                PF00734.20   3.9e-13   43.7  20.2   3.9e-13   43.7  20.2   4.4   5   2   0   5   5   4   1 -
Secreted_RMI_XP_023462805.1                                  -          CBM_1                PF00734.20   5.3e-13   43.3   8.9   5.3e-13   43.3   8.9   2.9   2   0   0   2   2   2   1 -
Secreted_CMA_jgi_Corma2_723877_estExt_fgenesh1_pm.C_1700004  -          CBM_1                PF00734.20     7e-13   42.9  19.7     7e-13   42.9  19.7   3.7   2   1   0   2   2   2   1 -
Secreted_PRU_jgi_Orpsp1_1_1181526_evm.model.c7180000077511.1 -          CBM_1                PF00734.20   8.7e-13   42.6   8.2   2.4e-12   41.2   8.2   1.8   1   0   0   1   1   1   1 -
Secreted_FFL_RSL86534.1                                      -          CBM_1                PF00734.20   1.1e-12   42.3  12.5   1.1e-12   42.3  12.5   3.7   3   1   0   3   3   3   1 -
Secreted_FOL_RSL93466.1                                      -          CBM_1                PF00734.20   1.1e-12   42.3  12.5   1.1e-12   42.3  12.5   3.7   3   1   0   3   3   3   1 -
Secreted_RMI_XP_023462804.1                                  -          CBM_1                PF00734.20   1.3e-12   42.1  10.8   1.3e-12   42.1  10.8   2.9   2   0   0   2   2   2   1 -
Secreted_CPA_KAF3762046.1                                    -          CBM_1                PF00734.20   1.6e-12   41.7  11.4   1.6e-12   41.7  11.4   3.2   3   0   0   3   3   2   1 -
Secreted_RMI_XP_023464313.1                                  -          CBM_1                PF00734.20   3.4e-12   40.7  10.3   3.4e-12   40.7  10.3   2.7   2   0   0   2   2   2   1 -
Secreted_PRU_jgi_Orpsp1_1_1179755_evm.model.c7180000070662.1 -          CBM_1                PF00734.20   7.7e-12   39.6   7.4   1.8e-11   38.4   7.4   1.7   1   0   0   1   1   1   1 -
Secreted_PRU_jgi_Orpsp1_1_1179010_evm.model.c7180000067566.1 -          CBM_1                PF00734.20   1.8e-11   38.4  11.4     7e-11   36.5  11.4   2.2   1   0   0   1   1   1   1 -
Secreted_VNO_XP_028491691.1                                  -          CBM_1                PF00734.20   2.2e-10   34.9  15.7   2.2e-10   34.9  15.7   4.5   5   1   0   5   5   5   1 -
Secreted_PRU_jgi_Orpsp1_1_1190857_evm.model.d7180000081699.1 -          CBM_1                PF00734.20   4.1e-07   24.5  36.7   0.00014   16.3   2.8   4.2   3   1   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1176285_evm.model.c7180000057040.1 -          CBM_10               PF02013.18   7.7e-49  158.5  40.9   3.6e-18   60.4   7.1   3.3   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1180170_evm.model.c7180000072378.1 -          CBM_10               PF02013.18   7.7e-49  158.5  40.9   3.6e-18   60.4   7.1   3.3   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1174935_evm.model.c7180000052010.1 -          CBM_10               PF02013.18   2.6e-47  153.6  47.4   1.9e-17   58.0  10.0   4.0   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1176933_evm.model.c7180000059546.1 -          CBM_10               PF02013.18   2.6e-47  153.6  47.4   1.9e-17   58.0  10.0   4.0   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1178674_evm.model.c7180000066294.1 -          CBM_10               PF02013.18   4.9e-47  152.7  44.3   7.3e-18   59.4  10.1   3.8   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1179010_evm.model.c7180000067566.1 -          CBM_10               PF02013.18     2e-45  147.6  75.4     7e-15   49.8   4.9   6.6   6   0   0   6   6   5   5 -
Secreted_PRU_jgi_Orpsp1_1_1178592_evm.model.c7180000065967.1 -          CBM_10               PF02013.18   5.5e-41  133.4  40.0   2.4e-17   57.8   8.1   3.8   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1177652_evm.model.c7180000062316.1 -          CBM_10               PF02013.18   7.5e-41  132.9  74.6   1.6e-17   58.2  10.3   6.0   5   0   0   5   5   4   4 -
Secreted_PRU_jgi_Orpsp1_1_1176377_evm.model.c7180000057371.1 -          CBM_10               PF02013.18     2e-39  128.4  60.3   3.7e-16   53.9  12.5   4.3   4   0   0   4   4   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1186148_evm.model.c7180000097240.1 -          CBM_10               PF02013.18   1.8e-38  125.3  26.1   5.2e-16   53.4   4.9   3.9   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1175221_evm.model.c7180000053075.1 -          CBM_10               PF02013.18     4e-38  124.2  32.2     5e-16   53.5   5.5   3.4   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1177481_evm.model.c7180000061604.1 -          CBM_10               PF02013.18   6.7e-37  120.3  27.0   1.5e-19   64.8  10.6   2.4   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1177798_evm.model.c7180000062897.1 -          CBM_10               PF02013.18   1.2e-36  119.4  28.7   6.8e-20   65.9   8.6   2.6   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1176045_evm.model.c7180000056198.1 -          CBM_10               PF02013.18   3.9e-36  117.9  27.0   9.4e-19   62.2   9.4   2.2   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1182455_evm.model.c7180000081331.1 -          CBM_10               PF02013.18   6.9e-36  117.0  25.7   1.4e-18   61.7  10.4   2.3   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1181066_evm.model.c7180000075698.1 -          CBM_10               PF02013.18   1.8e-35  115.7  31.4   1.1e-18   62.0   9.4   2.9   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1190807_evm.model.d7180000081332.1 -          CBM_10               PF02013.18     2e-35  115.6  25.3   2.2e-18   61.0   7.3   2.3   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1178780_evm.model.c7180000066708.1 -          CBM_10               PF02013.18   7.7e-35  113.7  31.1   3.6e-18   60.4  11.0   3.9   3   0   0   3   3   3   2 -
Secreted_PRU_jgi_Orpsp1_1_1182298_evm.model.c7180000080716.1 -          CBM_10               PF02013.18   9.2e-35  113.4  30.1   3.8e-18   60.3  11.5   2.6   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1180976_evm.model.c7180000075322.1 -          CBM_10               PF02013.18   9.6e-35  113.4  28.0   3.1e-19   63.8   6.6   3.1   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1185671_evm.model.c7180000094801.1 -          CBM_10               PF02013.18   1.5e-34  112.8  29.7   2.4e-18   60.9   8.8   3.3   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1188090_evm.model.d7180000062386.1 -          CBM_10               PF02013.18   2.5e-34  112.0  28.5   8.3e-19   62.4   7.1   3.1   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1192811_evm.model.d7180000096050.1 -          CBM_10               PF02013.18   3.4e-34  111.6  31.1   2.7e-18   60.8  11.1   3.7   3   0   0   3   3   3   2 -
Secreted_PRU_jgi_Orpsp1_1_1188210_evm.model.d7180000063222.1 -          CBM_10               PF02013.18   3.4e-34  111.6  29.0   1.1e-18   62.0   7.7   3.1   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1176343_evm.model.c7180000057256.1 -          CBM_10               PF02013.18   3.6e-34  111.6  25.7   1.6e-18   61.5   8.7   2.5   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1177615_evm.model.c7180000062149.1 -          CBM_10               PF02013.18   6.2e-34  110.8  30.3   9.9e-19   62.2   9.7   3.1   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1177561_evm.model.c7180000061923.1 -          CBM_10               PF02013.18     9e-34  110.3  32.8   1.7e-18   61.4  11.0   3.2   3   0   0   3   3   3   2 -
Secreted_PRU_jgi_Orpsp1_1_1175005_evm.model.c7180000052288.1 -          CBM_10               PF02013.18   1.4e-33  109.7  29.6   8.9e-18   59.1  11.7   2.5   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1177888_evm.model.c7180000063223.1 -          CBM_10               PF02013.18   5.3e-33  107.8  29.9   1.1e-18   62.0   7.7   3.1   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1189758_evm.model.d7180000074221.1 -          CBM_10               PF02013.18     6e-33  107.7  33.9     4e-18   60.2  10.8   2.8   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1176522_evm.model.c7180000057932.1 -          CBM_10               PF02013.18   7.9e-33  107.3  40.5   9.5e-15   49.4   8.5   4.1   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1188777_evm.model.d7180000067086.1 -          CBM_10               PF02013.18   2.5e-32  105.7  30.3   5.5e-17   56.6  10.2   2.3   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1178477_evm.model.c7180000065466.1 -          CBM_10               PF02013.18   3.1e-32  105.4  31.7   8.8e-19   62.3   9.7   2.6   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1179248_evm.model.c7180000068602.1 -          CBM_10               PF02013.18   3.2e-32  105.3  31.2   4.1e-17   57.0  10.9   3.2   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1179501_evm.model.c7180000069556.1 -          CBM_10               PF02013.18   3.6e-32  105.2  30.5   3.2e-18   60.5   6.5   3.6   3   0   0   3   3   3   2 -
Secreted_PRU_jgi_Orpsp1_1_1175496_evm.model.c7180000054094.1 -          CBM_10               PF02013.18   3.9e-32  105.0  33.1   2.1e-17   57.9  11.8   2.9   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1178757_evm.model.c7180000066629.1 -          CBM_10               PF02013.18   7.4e-32  104.2  46.9   2.7e-16   54.4  11.3   6.3   7   0   0   7   7   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1174735_evm.model.c7180000051208.1 -          CBM_10               PF02013.18   1.6e-31  103.0  47.9   5.7e-12   40.5   6.5   4.7   4   0   0   4   4   4   3 -
Secreted_PRU_jgi_Orpsp1_1_1183808_evm.model.c7180000086782.1 -          CBM_10               PF02013.18   2.1e-31  102.7  40.5     1e-13   46.1  13.8   3.2   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1179675_evm.model.c7180000070299.1 -          CBM_10               PF02013.18   5.3e-31  101.4  82.3   2.4e-08   28.9   3.2   8.0   7   0   0   7   7   7   7 -
Secreted_PRU_jgi_Orpsp1_1_1182596_evm.model.c7180000081926.1 -          CBM_10               PF02013.18   9.9e-31  100.6  27.9   8.4e-17   56.0  10.8   2.4   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1174941_evm.model.c7180000052027.1 -          CBM_10               PF02013.18   5.1e-30   98.3  22.1   1.4e-15   52.0   6.9   2.5   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1186910_evm.model.d7180000054053.1 -          CBM_10               PF02013.18     6e-30   98.0  25.0   6.7e-17   56.3   7.4   3.3   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1188758_evm.model.d7180000067004.1 -          CBM_10               PF02013.18   6.5e-30   97.9  27.6   1.5e-17   58.3  10.2   3.3   4   0   0   4   4   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1188535_evm.model.d7180000065562.1 -          CBM_10               PF02013.18   8.1e-30   97.6  36.4   3.7e-17   57.1  11.8   3.0   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1190056_evm.model.d7180000076360.1 -          CBM_10               PF02013.18   3.1e-29   95.8  17.7   5.8e-18   59.7   6.5   2.2   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1189589_evm.model.d7180000073068.1 -          CBM_10               PF02013.18   4.2e-29   95.3  34.7   5.3e-16   53.4   9.3   2.9   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1180378_evm.model.c7180000073148.1 -          CBM_10               PF02013.18   5.1e-29   95.1  27.8   1.1e-15   52.4  10.4   2.7   2   0   0   2   2   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1176284_evm.model.c7180000057039.1 -          CBM_10               PF02013.18   1.4e-28   93.6  35.1   6.3e-17   56.4  11.3   5.1   6   1   0   6   6   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1178361_evm.model.c7180000065000.2 -          CBM_10               PF02013.18   4.5e-28   92.0  32.0   6.8e-16   53.1   7.8   2.8   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1189608_evm.model.d7180000073212.1 -          CBM_10               PF02013.18   5.7e-28   91.7  34.5   1.1e-10   36.5   6.4   3.9   3   0   0   3   3   3   3 -
Secreted_PRU_jgi_Orpsp1_1_1186537_evm.model.d7180000051309.1 -          CBM_10               PF02013.18   1.8e-27   90.1  30.7   3.3e-19   63.7  12.2   3.5   4   0   0   4   4   3   2 -
Secreted_PRU_jgi_Orpsp1_1_1186717_evm.model.d7180000052762.1 -          CBM_10               PF02013.18   1.1e-26   87.6  25.1   1.6e-14   48.7   6.1   2.9   3   0   0   3   3   2   2 -
Secreted_PRU_jgi_Orpsp1_1_1185862_evm.model.c7180000095676.1 -          CBM_10               PF02013.18   2.2e-26   86.6  52.1   7.3e-13   43.4   6.1   5.0   5   0   0   5   5   3   3 -
